City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
San Quintín,17,MX,1586651702,73,30.48,-115.95,61.59,17.52
Shimoda,75,JP,1586651702,87,34.67,138.95,57.2,17.22
Chikwawa,82,MW,1586651702,77,-16.03,34.8,68.95,1.63
Kadoshkino,100,RU,1586651702,86,54.03,44.42,32.27,19.15
Broome,1,US,1586651702,44,42.25,-75.83,41.0,8.05
Lavrentiya,95,RU,1586651703,96,65.58,-171.0,32.43,12.46
Margate,41,GB,1586651490,93,51.38,1.39,57.0,3.36
Verkhnevilyuysk,99,RU,1586651703,96,63.45,120.32,31.01,10.13
Tevaitoa,84,PF,1586651703,75,-16.78,-151.5,83.57,12.97
Yulara,100,AU,1586651703,24,-25.24,130.99,80.6,10.29
Shingū,75,JP,1586651703,71,33.73,135.98,53.6,4.7
Iracoubo,100,GF,1586651703,78,5.48,-53.2,79.11,11.81
Sinnamary,100,GF,1586651703,79,5.38,-52.95,79.36,13.11
Cuiluan,0,CN,1586651704,42,47.72,128.65,50.25,3.38
Berlevåg,64,NO,1586651704,92,70.86,29.09,24.87,6.85
Pevek,44,RU,1586651696,91,69.7,170.31,9.79,14.54
Los Llanos de Aridane,90,ES,1586651667,77,28.66,-17.92,66.2,10.29
Ishimbay,67,RU,1586651524,81,53.45,56.04,37.31,6.13
Bulolo,88,PG,1586651704,52,-7.2,146.65,82.44,0.54
Hong Kong,20,HK,1586651415,59,22.29,114.16,66.2,17.22
Slave Lake,90,CA,1586651460,68,55.28,-114.77,28.4,6.93
Douentza,45,ML,1586651705,29,15.0,-2.95,87.94,11.27
Darłowo,100,PL,1586651705,63,54.42,16.41,45.0,10.83
Talnakh,75,RU,1586651705,93,69.49,88.4,33.8,31.32
Atambua,79,ID,1586651705,73,-9.11,124.89,77.74,2.84
Malakal,37,SS,1586651705,29,9.53,31.66,86.97,6.06
Santa Lucía,40,ES,1586651705,72,27.91,-15.54,66.2,18.34
Laramie,90,US,1586651482,34,41.31,-105.59,57.2,28.86
Kumul,32,CN,1586651706,23,42.8,93.45,52.66,3.56
Kruisfontein,95,ZA,1586651706,54,-34.0,24.73,61.36,5.97
Okha,56,RU,1586651706,97,53.57,142.95,30.92,13.62
Carquefou,1,FR,1586651706,87,47.3,-1.49,55.0,1.12
Cândido Mendes,100,BR,1586651706,92,-1.45,-45.72,78.35,3.83
Pangody,100,RU,1586651706,95,65.85,74.49,18.43,6.73
Baturaja,71,ID,1586651706,92,-4.13,104.17,75.7,0.65
Mahon,27,ES,1586651706,82,39.89,4.27,55.4,8.05
Acaraú,100,BR,1586651707,87,-2.89,-40.12,78.66,4.68
Arona,75,ES,1586651708,72,28.1,-16.68,66.2,11.41
Plettenberg Bay,98,ZA,1586651708,58,-34.05,23.37,64.36,3.71
Nuevo Progreso,85,MX,1586651708,70,23.17,-97.95,82.0,3.0
Hasaki,75,JP,1586651708,87,35.73,140.83,52.0,10.29
Kisangani,96,CD,1586651460,82,0.52,25.2,72.82,2.26
Alyangula,85,AU,1586651708,66,-13.85,136.42,86.0,6.93
Sampit,82,ID,1586651708,92,-2.53,112.95,77.14,0.81
Henties Bay,2,NA,1586651708,88,-22.12,14.28,63.0,5.01
Souillac,75,MU,1586651708,83,-20.52,57.52,78.01,5.82
Seoul,1,KR,1586651654,57,37.57,126.98,51.8,4.7
Orán,2,AR,1586651709,85,-23.13,-64.33,69.01,1.63
Hamilton,20,US,1586651412,59,39.18,-84.53,57.99,6.93
Andapa,38,MG,1586651709,78,-14.65,49.65,67.66,2.71
Tourlaville,0,FR,1586651709,54,49.64,-1.57,55.99,6.93
Angoche,57,MZ,1586651709,81,-16.23,39.91,73.15,5.3
Pisco,40,PE,1586651709,73,-13.7,-76.22,73.99,16.11
Tot'ma,9,RU,1586651628,92,59.97,42.76,25.16,3.98
Clifton,1,US,1586651601,31,40.86,-74.16,54.0,4.7
Assiniboia,98,CA,1586651433,63,49.63,-105.98,28.78,16.93
Zapadnaya Dvina,72,RU,1586651710,90,56.26,32.07,30.87,3.67
Thinadhoo,0,MV,1586651710,63,0.53,72.93,83.97,4.54
Mosquera,40,CO,1586651710,82,4.71,-74.23,59.0,6.93
Tabas,100,IR,1586651710,77,33.6,56.92,64.4,4.7
Nizhnevartovsk,97,RU,1586651710,97,60.93,76.55,37.4,6.71
Norman Wells,20,CA,1586651710,50,65.28,-126.83,28.4,6.93
São Filipe,93,CV,1586651710,74,14.9,-24.5,75.38,9.22
Asheville,1,US,1586651554,26,35.6,-82.55,60.01,10.29
Dossor,0,KZ,1586651710,61,47.53,52.98,45.46,9.33
Bud,1,US,1586651711,28,39.45,-86.18,59.0,8.05
Ouésso,100,CG,1586651711,87,1.61,16.05,70.81,3.56
Harlingen,1,US,1586651688,69,26.19,-97.7,84.2,12.8
Auki,91,SB,1586651711,67,-8.77,160.7,85.33,2.66
Nikolskoye,3,RU,1586651711,92,59.7,30.79,26.6,2.98
Tazmalt,40,DZ,1586651711,87,36.39,4.4,57.2,3.36
Solotcha,90,RU,1586651711,99,54.79,39.84,28.99,13.11
Upernavik,100,GL,1586651711,88,72.79,-56.15,19.35,1.74
Zverinogolovskoye,99,RU,1586651712,79,54.46,64.85,38.75,8.52
Makokou,99,GA,1586651712,84,0.57,12.86,68.18,3.06
Lamu,98,KE,1586651712,84,-2.27,40.9,80.29,7.02
Lompoc,75,US,1586651650,72,34.64,-120.46,71.01,14.99
Messaria,0,GR,1586651712,56,36.4,25.45,61.0,10.0
Vostok,34,RU,1586651712,51,46.49,135.88,37.62,4.59
Alghero,0,IT,1586651712,93,40.56,8.32,46.4,2.24
Washougal,1,US,1586651712,36,45.58,-122.35,63.0,4.7
Baruun-Urt,0,MN,1586651712,29,46.68,113.28,45.68,7.11
Salinas,90,US,1586651713,71,36.68,-121.66,66.0,9.17
Mehamn,82,NO,1586651713,95,71.04,27.85,23.49,7.36
Batagay-Alyta,89,RU,1586651713,87,67.8,130.41,25.81,4.81
Erenhot,0,CN,1586651442,33,43.65,111.98,42.39,6.78
Malanje,60,AO,1586651713,69,-9.54,16.34,64.04,0.83
Klaksvík,100,FO,1586651713,86,62.23,-6.59,39.2,28.86
Canutama,78,BR,1586651713,94,-6.53,-64.38,76.33,3.42
Sulangan,15,PH,1586651713,75,11.14,123.72,81.52,7.27
Vaxjo,100,SE,1586651713,93,56.88,14.81,43.0,9.17
Dezhou,0,CN,1586651504,29,37.45,116.29,57.63,15.21
Dagana,46,MR,1586651714,20,16.52,-15.51,93.2,2.24
Ilulissat,90,GL,1586651714,68,69.22,-51.1,28.4,9.17
Eston,75,CA,1586651714,58,51.15,-108.75,24.8,18.34
Laje,99,BR,1586651715,74,-10.18,-40.97,73.44,0.25
Thabazimbi,0,ZA,1586651715,88,-24.59,27.41,55.0,1.88
Sangar,99,RU,1586651717,94,63.92,127.47,32.29,7.25
Fuxin,0,CN,1586651717,37,42.02,121.66,52.39,12.95
George,94,ZA,1586651502,87,-33.96,22.46,60.8,6.93
Libertador General San Martín,17,AR,1586651717,53,-23.81,-64.79,66.54,0.29
Markova,7,UA,1586651720,66,48.68,24.41,35.4,2.13
Sorbhog,0,IN,1586651720,38,26.5,90.87,71.58,6.06
Alofi,98,NU,1586651720,66,-19.06,-169.92,84.2,11.41
Yeppoon,75,AU,1586651721,48,-23.13,150.73,84.2,9.17
Christchurch,63,NZ,1586651721,45,-43.53,172.63,69.01,11.41
Milyutinskaya,27,RU,1586651721,74,48.63,41.67,37.62,7.31
Saint-François,10,FR,1586651721,81,46.42,3.91,53.01,3.36
Funtua,100,NG,1586651721,16,11.52,7.31,76.84,6.49
Arrondissement de Saint-Denis,66,FR,1586651625,62,48.92,2.33,63.0,4.7
Muros,90,ES,1586651722,93,42.78,-9.06,55.0,5.82
Gizo Government Station,90,SB,1586651722,68,-8.1,156.84,86.81,4.14
Arman',88,RU,1586651427,92,59.7,150.17,23.41,4.03
Birecik,0,TR,1586651722,50,37.03,37.99,51.8,2.24
Atar,0,MR,1586651723,19,20.52,-13.05,80.73,8.81
Donskoy,0,RU,1586651723,81,53.97,38.34,31.48,14.61
Shubarkuduk,0,KZ,1586651723,64,49.14,56.49,39.99,8.84
Cotonou,40,BJ,1586651583,79,6.37,2.42,84.2,8.05
Ganzhou,0,CN,1586651723,65,28.82,115.43,51.85,5.46
Sítio Novo do Tocantins,87,BR,1586651724,89,-5.52,-47.46,75.99,1.43
Lokosovo,65,RU,1586651724,95,61.13,74.82,36.21,7.43
Vestmannaeyjar,100,IS,1586651724,88,63.44,-20.27,43.29,11.14
Tynda,96,RU,1586651724,74,55.17,124.72,35.89,2.55
Denpasar,20,ID,1586651542,78,-8.65,115.22,82.4,4.7
Ixtapa,75,MX,1586651724,69,20.7,-105.2,78.8,10.29
Bambous Virieux,75,MU,1586651724,83,-20.34,57.76,78.01,5.82
Oistins,75,BB,1586651463,69,13.07,-59.53,80.6,14.99
Lata,75,PT,1586651725,93,40.16,-8.33,57.0,3.36
Marsá Maţrūḩ,0,EG,1586651725,76,31.35,27.25,59.54,7.58
Ciudad Bolivar,100,VE,1586651725,29,8.12,-63.55,91.67,13.94
Cumana,40,VE,1586651725,66,10.46,-64.18,87.8,23.04
Mogadishu,0,SO,1586651725,74,2.04,45.34,83.35,9.75
Puerto Nariño,75,CO,1586651725,94,-3.77,-70.38,78.8,2.24
Bahía Honda,0,CU,1586651725,76,22.9,-83.16,80.06,7.94
Adrar,0,MR,1586651726,17,20.5,-10.07,80.47,10.92
Charters Towers,54,AU,1586651726,32,-20.1,146.27,81.21,7.45
Opuwo,3,NA,1586651726,54,-18.06,13.84,68.54,6.17
Xai-Xai,0,MZ,1586651726,93,-25.05,33.64,68.67,5.86
Shādegān,3,IR,1586651726,37,30.65,48.66,71.6,11.41
Merauke,58,ID,1586651726,71,-8.47,140.33,84.76,7.92
Loukhi,14,RU,1586651726,95,66.08,33.04,19.96,5.79
Kavaratti,4,IN,1586651726,69,10.57,72.64,84.04,4.61
Puerto Peñasco,41,MX,1586651727,45,31.32,-113.53,66.43,11.63
Gazli,100,UZ,1586651727,70,40.13,63.45,63.68,5.99
Vágur,100,FO,1586651727,91,61.47,-6.81,44.33,21.47
Swan Hill,0,AU,1586651727,57,-35.34,143.55,57.31,9.46
Praia da Vitória,40,PT,1586651727,82,38.73,-27.07,60.8,10.92
Djibouti,20,DJ,1586651727,83,11.5,42.5,82.4,5.82
Chākuliā,0,IN,1586651727,45,22.48,86.72,76.91,2.91
Gemeente Wageningen,29,NL,1586651727,65,51.97,5.67,52.0,1.12
Novska,10,HR,1586651728,87,45.34,16.98,44.6,2.24
Whitehorse,5,CA,1586651476,21,60.72,-135.05,41.0,0.58
Barber,40,CW,1586651728,78,12.28,-69.07,80.6,14.99
Masiga,1,PH,1586651728,73,13.36,121.83,84.99,1.99
Lazarev,68,RU,1586651728,90,52.23,141.51,33.67,11.68
São João dos Patos,78,BR,1586651511,77,-6.5,-43.7,76.41,0.89
Okahandja,55,NA,1586651731,82,-21.98,16.92,62.01,3.36
Freetown,46,SL,1586651731,87,8.48,-13.23,80.11,4.38
Kalispell,90,US,1586651732,31,48.2,-114.31,35.6,20.8
Belmonte,75,BR,1586651732,83,-15.86,-38.88,78.8,2.24
Kasama,84,ZM,1586651732,67,-10.21,31.18,59.56,2.62
Manturovo,100,RU,1586651732,94,58.34,44.76,29.07,7.96
Husavik,90,IS,1586651732,69,66.04,-17.34,33.8,24.16
Parola,0,IN,1586651732,17,20.88,75.12,81.09,1.45
Misratah,0,LY,1586651711,63,32.38,15.09,61.09,10.49
Phan Thiet,60,VN,1586651732,79,10.93,108.1,80.11,6.06
Moberly,90,US,1586651644,55,39.42,-92.44,64.0,9.17
Praia,82,CV,1586651733,73,14.92,-23.51,75.2,8.05
Suixi,0,CN,1586651733,52,33.89,116.77,51.66,13.42
Devrek,41,TR,1586651733,73,41.22,31.96,43.03,1.12
Pumiao,86,CN,1586651733,63,22.75,108.48,60.8,11.18
Port Augusta,4,AU,1586651733,67,-32.5,137.77,59.0,10.29
Vidim,11,RU,1586651733,77,56.41,103.11,32.5,3.71
Terrace,5,CA,1586651733,16,54.52,-128.6,53.6,4.7
Laguna,1,US,1586651471,63,38.42,-121.42,71.6,10.29
Labuhan,49,ID,1586651579,82,-6.88,112.21,79.63,4.68
Meulaboh,47,ID,1586651734,78,4.14,96.13,80.38,0.58
Libreville,20,GA,1586651718,94,0.39,9.45,75.2,3.36
Gunjur,3,GM,1586651734,88,13.2,-16.73,73.4,6.93
Mossamedes,10,AO,1586651734,62,-15.2,12.15,77.25,3.69
Caditaan,26,PH,1586651734,73,12.81,123.85,81.28,5.26
Diu,1,IN,1586651734,50,20.71,70.98,81.99,11.68
Jalu,7,LY,1586651611,50,29.03,21.55,59.97,8.93
Bandarbeyla,32,SO,1586651735,72,9.49,50.81,81.25,5.12
Bonnyville,75,CA,1586651735,36,54.27,-110.73,28.4,18.34
Cabra,98,ES,1586651735,62,37.47,-4.44,57.2,2.24
Perth,90,AU,1586651735,83,-31.93,115.83,75.0,2.24
Cabedelo,54,BR,1586651506,88,-6.98,-34.83,78.8,6.93
Harper,87,LR,1586651735,81,4.38,-7.72,80.49,3.51
Zhigansk,96,RU,1586651735,95,66.77,123.37,26.51,16.11
Zamora,90,EC,1586651735,64,-4.07,-78.96,75.2,13.87
Novy Urengoy,100,RU,1586651736,96,66.08,76.63,22.21,8.77
Bubaque,8,GW,1586651736,79,11.28,-15.83,78.48,16.06
Santo Domingo,20,DO,1586651736,83,18.5,-69.99,82.0,1.68
Sucúa,75,EC,1586651736,100,-2.47,-78.17,66.2,1.88
Rumonge,82,BI,1586651736,62,-3.97,29.44,70.54,5.3
Coyhaique,40,CL,1586651602,57,-45.58,-72.07,48.2,5.82
Noumea,36,NC,1586651736,43,-22.28,166.46,87.8,6.93
Nikki,80,BJ,1586651736,26,9.94,3.21,84.7,3.96
Putina,27,PE,1586651736,19,-15.47,-69.43,46.92,9.84
Mahajanga,20,MG,1586651736,88,-15.72,46.32,73.4,3.36
Hatillo,1,PR,1586651737,81,18.49,-66.83,82.0,4.7
Kouango,100,CF,1586651737,87,4.99,19.96,72.27,2.95
Wad Medani,6,SD,1586651737,14,14.4,33.52,78.76,16.58
Youghal,20,IE,1586651737,61,51.95,-7.85,52.0,4.7
General Pico,60,AR,1586651737,58,-35.66,-63.76,63.45,8.75
San Juan,74,AR,1586651445,33,-31.54,-68.54,72.99,10.92
Lisala,100,CD,1586651737,88,2.15,21.52,69.89,2.64
Elk Point,90,US,1586651737,46,42.68,-96.68,55.4,9.71
Khipro,83,PK,1586651737,25,25.83,69.38,85.71,9.08
Vao,35,NC,1586651738,73,-22.67,167.48,76.5,12.95
Orange Cove,80,US,1586651738,46,36.62,-119.31,73.0,2.13
Mudon,99,MM,1586651738,72,16.26,97.72,77.67,4.76
Jinchang,25,CN,1586651738,26,38.5,102.17,40.26,4.14
Maïné Soroa,97,NE,1586651738,16,13.21,12.02,80.04,9.62
Eyemouth,83,GB,1586651738,81,55.87,-2.09,51.8,13.87
Bilibino,91,RU,1586651747,89,68.05,166.44,14.2,3.76
Ayia Anna,0,CY,1586651748,81,34.94,33.48,57.0,3.36
Gao,56,ML,1586651748,19,16.64,1.64,85.77,4.56
Trairi,100,BR,1586651748,83,-3.28,-39.27,80.53,6.82
Salinópolis,97,BR,1586651721,83,-0.61,-47.36,81.99,10.6
Mount Isa,13,AU,1586651630,13,-20.73,139.5,80.6,12.75
Santa Maria,1,BR,1586651748,77,-29.68,-53.81,59.5,3.96
Amarante do Maranhão,93,BR,1586651748,86,-5.57,-46.74,75.13,1.88
Pāsighāt,3,IN,1586651748,46,28.07,95.33,68.61,3.42
São João da Barra,99,BR,1586651466,90,-21.64,-41.05,71.76,16.22
Chu,100,KZ,1586651749,46,43.6,73.76,52.0,3.87
Isangel,20,VU,1586651749,58,-19.55,169.27,84.2,5.48
Nshamba,21,TZ,1586651750,65,-1.8,31.55,61.0,4.59
Khovu-Aksy,24,RU,1586651750,56,51.13,93.6,31.08,2.17
Kudahuvadhoo,5,MV,1586651750,63,2.67,72.89,84.42,5.08
Rincon,20,US,1586651681,45,32.3,-81.24,68.0,9.17
Kurumkan,100,RU,1586651750,44,54.3,110.3,45.72,2.66
Mandan,1,US,1586651583,50,46.83,-100.89,35.6,14.99
Chingola,73,ZM,1586651751,67,-12.53,27.88,58.95,3.98
Alamogordo,1,US,1586651751,10,32.9,-105.96,69.8,13.87
Oranjemund,14,NA,1586651751,91,-28.55,16.43,57.85,1.52
Marsh Harbour,39,BS,1586651714,82,26.54,-77.06,73.49,18.7
Yining,0,CN,1586651751,68,29.04,114.56,49.53,2.55
Yokote,75,JP,1586651751,93,39.3,140.57,46.4,6.93
Doha,100,QA,1586651644,54,25.29,51.53,84.2,5.82
Qaqortoq,100,GL,1586651752,48,60.72,-46.03,41.0,46.08
Tura,0,IN,1586651529,46,25.52,90.22,71.28,4.85
Killybegs,100,IE,1586651752,94,54.63,-8.45,46.0,6.02
Lyuban',2,BY,1586651752,75,52.8,28.0,33.3,3.51
Tateyama,75,JP,1586651752,93,34.98,139.87,53.01,10.29
Ibrā’,12,OM,1586651752,51,22.69,58.53,74.55,4.68
Jiamusi,3,CN,1586651752,49,46.83,130.35,47.89,6.11
Trincomalee,15,LK,1586651752,82,8.57,81.23,79.92,4.09
Taltal,23,CL,1586651753,77,-25.4,-70.48,62.35,4.18
São José da Coroa Grande,4,BR,1586651753,78,-8.9,-35.15,80.98,8.5
Maxixe,32,MZ,1586651478,83,-23.86,35.35,71.37,3.58
Codrington,97,AU,1586651698,63,-38.27,141.97,55.85,9.84
La Providencia,28,MX,1586651753,46,28.72,-111.58,71.01,11.99
Novopokrovka,32,UA,1586651753,71,49.84,36.55,37.92,11.5
Mykolayivka,34,UA,1586651753,65,47.54,30.76,40.98,7.27
Dunedin,100,NZ,1586651753,85,-45.87,170.5,57.0,1.01
Ndendé,100,GA,1586651754,89,-2.4,11.36,74.57,3.74
Karatuzskoye,0,RU,1586651754,78,53.61,92.87,33.35,2.1
Galesong,20,ID,1586651755,83,-5.32,119.37,82.4,3.36
Karratha,0,AU,1586651755,39,-20.74,116.85,84.4,13.49
North Myrtle Beach,1,US,1586651710,59,33.82,-78.68,62.01,10.29
Marawi,54,PH,1586651755,56,8.0,124.29,77.27,1.95
Wittstock,92,DE,1586651755,69,53.16,12.48,46.0,6.11
Port Hedland,5,AU,1586651607,51,-20.32,118.57,84.2,10.29
Krasnoshchekovo,7,RU,1586651756,82,51.67,82.73,33.49,4.5
Herat Province,100,AF,1586651756,53,34.5,62.0,59.68,5.12
Deori,0,IN,1586651756,18,21.45,82.62,79.34,2.77
Hailey,40,US,1586651756,37,43.52,-114.32,48.2,17.22
Conde,52,BR,1586651658,88,-7.26,-34.91,78.8,6.93
Tupanciretã,0,BR,1586651625,75,-29.08,-53.84,56.17,8.41
Makkah al Mukarramah,2,SA,1586651756,37,21.43,39.83,67.37,5.03
Mazyr,0,BY,1586651756,77,52.05,29.25,33.3,3.62
Twin Falls,40,US,1586651587,35,42.56,-114.46,64.0,25.28
Show Low,1,US,1586651757,34,34.25,-110.03,55.99,17.22
Jiazi,34,CN,1586651757,65,22.88,116.07,63.7,18.81
Livingston,90,GB,1586651757,81,55.9,-3.52,51.01,12.75
Svarstad,99,NO,1586651465,100,59.4,9.97,43.0,8.05
Andreiaşu de Jos,5,RO,1586651757,52,45.75,26.83,44.6,3.36
Abū Zabad,6,SD,1586651757,14,12.35,29.25,76.82,15.79
Vyartsilya,12,RU,1586651757,93,62.18,30.69,26.47,1.9
Lewistown,1,US,1586651761,39,40.6,-77.57,50.0,6.93
Falmouth,4,GB,1586651618,76,50.15,-5.07,52.0,1.12
Tashigang,13,BT,1586651761,30,27.33,91.55,57.63,4.56
Lethem,78,GY,1586651761,55,3.38,-59.8,84.15,10.07
Kabo,100,CF,1586651761,69,7.7,18.63,73.42,5.17
